Review_8,Capacity,Noise_Level,Review_1,Review_3,Review_2,Review_5,Review_4,Review_7,Review_6,ASIN,Offer_Price,Brand,Item_name,No_of_Reviews,Energy_Efficiency,Part_No,MRP,Control_Console,Model,Best_Sellers_Rank_Category_AC,Best_Sellers_Rank_Category_home_kitchen,Color,Wattage,Installation_Type,Average_Rating,Voltage,Item_href
,1 tons,39 dB,,,,,,,,B00RYIJS5E," 30,000.00",Blue Star,"Blue Star 3HW12VD Split AC(1 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,3 Star Rating,,,Remote Control,3HW12VD,,,White,1095 Watts,Split,,230 Volts,http://www.amazon.in/Blue-Star-3HW12VD-Split-Rating/dp/B00RYIJS5E/ref=sr_1_740/253-9613733-1627749?ie=UTF8&qid=1485080232&s=kitchen&sr=1-740
,1 tons,41 dB,,,,,,,,B00RXDLRGS," 43,060.00",Panasonic,"Panasonic CSCUXC12PKY Split AC (1 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,5 Star Rating,,,,CSCUXC12PKY,,,White,,Split,,230 Volts,http://www.amazon.in/Panasonic-CSCUXC12PKY-Split-Rating-Copper/dp/B00RXDLRGS/ref=sr_1_742/253-9613733-1627749?ie=UTF8&qid=1485080232&s=kitchen&sr=1-742
,1.5 tons,46 dB,,,,,,,,B00RZCM09A," 36,700.00",Daikin,"Daikin FTEL50NRV Split AC (1.5 Ton, 1 Star Rating, White): Amazon.in: Home & Kitchen",,1 Star Rating,,,,FTEL50NRV,,,White,1818 Watts,Split,,230 Volts,http://www.amazon.in/Daikin-FTEL50NRV-Split-Rating-White/dp/B00RZCM09A/ref=sr_1_739/253-9613733-1627749?ie=UTF8&qid=1485080232&s=kitchen&sr=1-739
,1 tons,40 dB,,,,,,,,B00RXDKJ6C," 44,000.00",Blue Star,"Blue Star 3HW12JAR1 Split AC (1 Ton, Red): Amazon.in: Home & Kitchen",,3 Star Rating,,,,3HW12JAR1,,,Red,,Split,,230 Volts,http://www.amazon.in/Blue-Star-3HW12JAR1-Split-Ton/dp/B00RXDKJ6C/ref=sr_1_743/253-9613733-1627749?ie=UTF8&qid=1485080232&s=kitchen&sr=1-743
,2 tons,,,,,,,,,B00RWZL294," 41,990.00",LLYOD,"Llyod LS24A2N Split AC (2 Ton, 2 Star Rating, White): Amazon.in: Home & Kitchen",,2 Star Rating,,,,LS24A2N,#490,"#4,82,561",White,,Split,,230 Volts,http://www.amazon.in/Llyod-LS24A2N-Split-Rating-White/dp/B00RWZL294/ref=sr_1_744/253-9613733-1627749?ie=UTF8&qid=1485080232&s=kitchen&sr=1-744
,1 tons,42 dB,,,,,,,,B00RZCO86I," 25,673.00",Onida,"Onida S123CHR Split AC (1 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,3 Star Rating,,"29,590.00",,S123CHR,,,White,1070 Watts,Split,,230 Volts,http://www.amazon.in/Onida-S123CHR-Split-Rating-Copper/dp/B00RZCO86I/ref=sr_1_735/253-9613733-1627749?ie=UTF8&qid=1485080232&s=kitchen&sr=1-735
,2 tons,40 dB,,,,,,,,B00TZMXS6C," 48,490.00",LG,"LG LSA6AT3D1 L-Aura Terminator Split AC (2 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,,,,LSA6AT3D1,#555,"#5,27,489",White,2000 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA6AT3D1-L-Aura-Terminator-Aluminium/dp/B00TZMXS6C/ref=sr_1_680/253-4992056-8413345?ie=UTF8&qid=1485080232&s=kitchen&sr=1-680
,1.5 tons,44 dB,,,,,,,,B00RZDYENY," 40,690.00",Voltas,"Voltas 183 PY Split AC (1.5 Ton, 3 Star Rating, Silver, Copper): Amazon.in: Home & Kitchen",,3 Star Rating,183 PY,,,183 PY,#725,"#6,51,238",Silver,,Split,,,http://www.amazon.in/Voltas-183-PY-Rating-Silver/dp/B00RZDYENY/ref=sr_1_719/253-3952973-1550020?ie=UTF8&qid=1485080232&s=kitchen&sr=1-719
,1.5 tons,36 dB,"This model is really useful to you and mosquito avoid function necessary in Indian atmosphere,, new skim is better than others,, 5years garranty for radiator & gas filling free,, every company give only 5years for compressor,, good cooling system and power saver",,"I have purchased this AC .About two months ago .This AC is very nice and the features are awesome .Especially the mosquito technology and energy saving mode .It is fully made up of copper .I've bought this AC in defence canteen for Rs.29,690 .",,,,,B00UTDQ0WU," 32,790.00",LG,"LG LSA5AT3D1 L-Aura Terminator Split AC (1.5 Ton, 3 Star Rating, Silver, Aluminium): Amazon.in: Home & Kitchen",2 reviews,3 Star Rating,,"37,990.00",Remote Control,LSA5AT3D1,#14,"#7,142",Silver,1615 Watts,Split,4.5 out of 5 stars,230 Volts,http://www.amazon.in/LG-LSA5AT3D1-L-Aura-Terminator-Aluminium/dp/B00UTDQ0WU/ref=sr_1_622/254-9074500-4967211?ie=UTF8&qid=1485080232&s=kitchen&sr=1-622
,1.5 tons,35 dB,,,,,,,,B00RZCOYVW," 34,610.00",Onida,"Onida S185TRC Split AC (1.5 Ton, 5 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,5 Star Rating,,"39,890.00",,S185TRC,,,White,1480 Watts,Split,,,http://www.amazon.in/Onida-S185TRC-Split-Rating-Aluminium/dp/B00RZCOYVW/ref=sr_1_734/253-9613733-1627749?ie=UTF8&qid=1485080232&s=kitchen&sr=1-734
,1.5 tons,36 dB,,,,,,,,B00UTDQH46," 37,490.00",LG,"LG LSA5SP3D1 L-Stella Plus Split AC (1.5 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,,,Remote Control,LSA5SP3D1,#624,"#5,92,930",White,1615 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA5SP3D1-L-Stella-Rating-Aluminium/dp/B00UTDQH46/ref=sr_1_618/254-9074500-4967211?ie=UTF8&qid=1485080232&s=kitchen&sr=1-618
,1 tons,,,,,,,,,B00RGHE38U," 34,990.00",Panasonic,"Panasonic CS/CU-UC12QKYT3 Split AC (1 Ton, 3 Star Rating, Metallic Red, Copper): Amazon.in: Home & Kitchen",,3 Star Rating,,,,CS/CU-UC12QKYT3,,,Metallic Red,,Split,,230 Volts,http://www.amazon.in/Panasonic-CS-CU-UC12QKYT3-Rating-Metallic/dp/B00RGHE38U/ref=sr_1_769/254-1312083-3826263?ie=UTF8&qid=1485080232&s=kitchen&sr=1-769
,1 tons,42 dB,,,,,,,,B00UV3VFIC," 24,990.00",Lloyd,"Lloyd Tranquil LS13A3HR Split AC (1 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,3 Star Rating,,"25,990.00",Remote Control,LS13A3HR,,,White,1107 Watts,Split,,230 Volts,http://www.amazon.in/Lloyd-Tranquil-LS13A3HR-Split-Rating/dp/B00UV3VFIC/ref=sr_1_615/254-9074500-4967211?ie=UTF8&qid=1485080232&s=kitchen&sr=1-615
,1 tons,41 dB,,,,,,,,B00VUTVHBG," 37,212.00",Carrier,"Carrier 12K Superia 365 Inverter Split AC (1 Ton, White, Copper): Amazon.in: Home & Kitchen",,Inverter,,,Remote Control,MS11D12-11HRDN1-QC2,#468,"#4,43,875",White,1010 Watts,Split,,230 Volts,http://www.amazon.in/Carrier-Superia-Inverter-Split-Copper/dp/B00VUTVHBG/ref=sr_1_577/255-2449294-7868049?ie=UTF8&qid=1485080232&s=kitchen&sr=1-577
,1.5 tons,36 dB,,,,,,,,B00UTDQ9XU," 36,990.00",LG,"LG LSA5VF3D1 L-Vogue Floral Split AC (1.5 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,LSA5VF3D,,Remote Control,LSA5VF3D1,#452,"#4,22,365",White,1615 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA5VF3D1-L-Vogue-Floral-Aluminium/dp/B00UTDQ9XU/ref=sr_1_620/254-9074500-4967211?ie=UTF8&qid=1485080232&s=kitchen&sr=1-620
,1.5 tons,54 dB,,,,,,,,B00V4T1HXA," 19,943.00",Panasonic,"Panasonic CW-UC1815YA Window AC (1.5 Ton, White, Copper): Amazon.in: Home & Kitchen",,2 Star Rating,CW-UC1815YA,"28,990.00",,CW-UC1815YA,,,White,1700 Watts,Window,,,http://www.amazon.in/Panasonic-CW-UC1815YA-Window-White-Copper/dp/B00V4T1HXA/ref=sr_1_597/255-2449294-7868049?ie=UTF8&qid=1485080232&s=kitchen&sr=1-597
,2 tons,40 dB,,,,,,,,B00UTDQDPO," 47,490.00",LG,"LG LSA6VF3D1 L-Vogue Floral Split AC (2 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,,,Remote Control,LSA6VF3D1,,,White,2000 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA6VF3D1-L-Vogue-Floral-Aluminium/dp/B00UTDQDPO/ref=sr_1_619/254-9074500-4967211?ie=UTF8&qid=1485080232&s=kitchen&sr=1-619
,1.5 tons,53 dB,I have been using this AC since an year and I don't have any problems with it. Cooling is good even on hot days with 45 degress temperature. The AC is effecitive in a short while. It also comes with a sleep timer and remote range is good even in a big room.Few drawbacks.1) No light on remote so it becomes difficult to operate it at night2) The blue lights on AC panel emit a lot of light. The room gets a lot of visibility at night.,,Zero starExtremely poor after sales service.  My ac developed a snag and it was difficult to get it fine. Even servicing nobody is interested in it. So better not to buy any such product,,,,,B00V4TICZ6," 30,000.00",Panasonic,"Panasonic CW-YC1815YA Window AC (1.5 Ton, White, Copper): Amazon.in: Home & Kitchen",2 reviews,,CW-YC1815YA,"30,990.00",,CW-YC1815YA,,,White,1700 Watts,Window,3.0 out of 5 stars,,http://www.amazon.in/Panasonic-CW-YC1815YA-Window-White-Copper/dp/B00V4TICZ6/ref=sr_1_596/255-2449294-7868049?ie=UTF8&qid=1485080232&s=kitchen&sr=1-596
,1 tons,35 dB,outdoor unit wall mounting bracket was not included. There is no remote stand and no horizontal air swing. Never buy this product as the mosquito away technology is just a eye wash and false promise. mosquito never goes away with this product. you have to use your own conventional way of mosquito repellent.  Indoor unit makes noise in ac and monsoon mode. no noise in fan mode. i like my whilpool 3d and hitachi ac when compare with LG.,,,,,,,B00UTDPSDM," 36,490.00",LG,"LG LSA3AT5D L-Aura Terminator Split AC (1 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen",2 reviews,5 Star Rating,,,Remote Control,LSA3AT5D,#504,"#5,02,263",White,980 Watts,Split,3.5 out of 5 stars,230 Volts,http://www.amazon.in/LG-LSA3AT5D-L-Aura-Terminator-Rating/dp/B00UTDPSDM/ref=sr_1_624/254-9074500-4967211?ie=UTF8&qid=1485080232&s=kitchen&sr=1-624
,1 tons,50 dB,,,,,,,,B00Q666B8W,,LG,"LG LWA3BP3F Window AC (1 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,3 Star Rating,,,,LWA3BP3F,#718,"#6,50,765",White,1160 Watts,Window,,230 Volts,http://www.amazon.in/LG-LWA3BP3F-Window-Rating-Copper/dp/B00Q666B8W/ref=sr_1_817/254-6340152-8743943?ie=UTF8&qid=1485080232&s=kitchen&sr=1-817
,1.5 tons,44 dB,,,,,,,,B00V30QH9E," 27,300.00",Panasonic,"Panasonic CS-VC18RKY2 Split AC (1.5 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,2 Star Rating,CS/CU-VC18RKY2,,Remote Control,CS-VC18RKY2,,,White,1666 Watts,Split,,230 Volts,http://www.amazon.in/Panasonic-CS-VC18RKY2-Split-Rating-Copper/dp/B00V30QH9E/ref=sr_1_598/255-2449294-7868049?ie=UTF8&qid=1485080232&s=kitchen&sr=1-598
,1 tons,,,,,,,,,B00REFYKK0," 36,400.00",Blue Star,"Blue Star 5HW12ZAWF1 Split AC (1 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",,5 Star Rating,,,,5HW12ZAWF1,,,White,990 Watts,Split,,230 Volts,http://www.amazon.in/Blue-Star-5HW12ZAWF1-Split-Rating/dp/B00REFYKK0/ref=sr_1_793/253-2439363-4557959?ie=UTF8&qid=1485080232&s=kitchen&sr=1-793
,1 tons,47 dB,,,,,,,,B00V30PFY2," 22,237.00",Panasonic,"Panasonic CS-UC12RKY2 Split AC (1 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,2 Star Rating,,,Remote Control,CS-UC12RKY2,,,White,1200 Watts,Split,,230 Volts,http://www.amazon.in/Panasonic-CS-UC12RKY2-Split-Rating-Copper/dp/B00V30PFY2/ref=sr_1_600/255-2449294-7868049?ie=UTF8&qid=1485080232&s=kitchen&sr=1-600
,1.5 tons,48 dB,itscopper condensercopper pipes included in installing kit5 year warranty on compressor1 year on all unit.installing charges are rs 1500/- +  if any add of copper pipes needed then they charge rs 250/- per sq ft,,,,,,,B00V30POIE," 26,461.00",Panasonic,"Panasonic CS-UC18RKY2 Split AC (1.5 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",1 review,2 Star Rating,,,Remote Control,CS-UC18RKY2,,,White,1690 Watts,Split,5.0 out of 5 stars,230 Volts,http://www.amazon.in/Panasonic-CS-UC18RKY2-Split-Rating-Copper/dp/B00V30POIE/ref=sr_1_599/255-2449294-7868049?ie=UTF8&qid=1485080232&s=kitchen&sr=1-599
,1.5 tons,42 dB,,,,,,,,B00QPWOZVW,,Voltas,"Voltas 18V DY Inverter Split AC (1.5 Ton, White, Copper): Amazon.in: Home & Kitchen",,,,"59,990.00",Remote Control,18V DY,,,White,1600 Watts,Split,,230 Volts,http://www.amazon.in/Voltas-18V-DY-Inverter-Copper/dp/B00QPWOZVW/ref=sr_1_814/253-2439363-4557959?ie=UTF8&qid=1485080232&s=kitchen&sr=1-814
,1.5 tons,,Please don't buy Panasonic window air conditioners. My new ac kinked off within 6 months. Service people from Panasonic found that refrigerant has totally leaked off. New ac not even 6 months old. They have so far refused a replacement.,,,,,,,B00RB9J48W," 35,490.00",Panasonic,"Panasonic CW-YC1814YA Window AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",1 review,3 Star Rating,CW-YC1814YA,,,CW-YC1814YA,#707,"#6,48,958",White,,Window,1.0 out of 5 stars,,http://www.amazon.in/Panasonic-CW-YC1814YA-Window-Rating-Copper/dp/B00RB9J48W/ref=sr_1_812/253-2439363-4557959?ie=UTF8&qid=1485080232&s=kitchen&sr=1-812
,1.5 tons,,,,,,,,,B00RB9IT9C," 48,990.00",Panasonic,"Panasonic KC-18QKY Split AC (1.5 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,5 Star Rating,,,,KC-18QKY,,,White,1540 Watts,Split,,230 Volts,http://www.amazon.in/Panasonic-KC-18QKY-Split-Rating-Copper/dp/B00RB9IT9C/ref=sr_1_813/253-2439363-4557959?ie=UTF8&qid=1485080232&s=kitchen&sr=1-813
