Review_8,Capacity,Noise_Level,Review_1,Review_3,Review_2,Review_5,Review_4,Review_7,Review_6,ASIN,Offer_Price,Brand,Part_Number,No_of_Reviews,Energy_Efficiency,Item_name,MRP,Control_Console,Model,Best_Sellers_Rank_Category_AC,Best_Sellers_Rank_Category_home_kitchen,Color,Wattage,Installation_Type,Average_Rating,Voltage,Item_href
,1 tons,,,,,,,,,B01CFY8RPI," 21,000.00",Blue Star,,,2 Star Rating,"Blue Star 2WAE081YCF Window AC (1 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,Remote Control,2WAE081YCF,#303,"#2,98,849",White,,Window,,,http://www.amazon.in/Blue-Star-2WAE081YCF-Window-Rating/dp/B01CFY8RPI/ref=sr_1_264/255-3187575-4192009?ie=UTF8&qid=1485032583&s=kitchen&sr=1-264
,1.5 tons,29 dB,this AC does not have a temperature meter in the Indoor and remote control does not have a light which makes difficult to see the temperature during night and also difficult to increase or decrease the temperature,With this ac v gaurd stabiliser and installation are free from company but vendor charging both. In night increasing & decreasing tempreture are very difficult because no light in the remote.,Very good product from LG but need to followup with vendor,,,,,B00UTDNYQA," 55,690.00",LG,,3 reviews,Inverter,"LG BSA18IMA Inverter V Split AC (1.5 Ton, White, Aluminium): Amazon.in: Home & Kitchen","55,990.00",Remote Control,BSA18IMA,#381,"#3,65,886",White,1460 Watts,Split,4.7 out of 5 stars,240 Volts,http://www.amazon.in/LG-BSA18IMA-Inverter-Split-Aluminium/dp/B00UTDNYQA/ref=sr_1_288/255-5018255-4333932?ie=UTF8&qid=1485032584&s=kitchen&sr=1-288
,1 tons,47 dB,,,,,,,,B00PU1BSE6," 20,990.00",Lloyd,,,1 Star Rating,"Lloyd LW12A2N Window AC (1 Ton, 1 Star Rating, Cream): Amazon.in: Home & Kitchen",,Remote Control,LW12A2N,#351,"#3,39,246",Cream,,Window,,230 Volts,http://www.amazon.in/Lloyd-LW12A2N-Window-Rating-Cream/dp/B00PU1BSE6/ref=sr_1_312/255-1422938-2404369?ie=UTF8&qid=1485032587&s=kitchen&sr=1-312
,2 tons,44 dB,"Very poor product and service quality. My AC had a circuit board issue in the out door unit and the reason cited is water leaked. in a matter of 14 months after purchase (just out of warranty) that too water leak in outdoor unit...for god's sake it is an outdoor unit that will be in the rain and you say water leaked...how is that not a manufacturing or installation defect...very pathetic...and now in another 6 months, stopped cooling...very pathetic product from samsung...strictly avoid...i purchased in Shahs Electronics store in Chennai and not via amazon...",Please Don't buy this A/C...Its very very bad,"This is a piece of junk . Bought it since the dealership talked about 20 feet air throw and looked good, but thats where it ends, worked beautifully for 6 months, after that its cooling is absolutely non existent. Called Samsung customer care several times, their AC technician doesnt even know how to open the damn thing, each visit they would open , clean the filter , close and say this is the max capacity cooling . Youre better off with a blue star or voltas . Samsung stop fleecing customers !!",,,,,B01INII76O," 60,100.00",Samsung,,3 reviews,,"Samsung AR24HV5NBWK Inverter AC (2 Ton, White, Aluminium): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,1710 Watts,Split,1.0 out of 5 stars,230 Volts,http://www.amazon.in/Samsung-AR24HV5NBWK-Inverter-White-Aluminium/dp/B01INII76O/ref=sr_1_336_m/255-0417906-2096338?ie=UTF8&qid=1485032589&s=kitchen&sr=1-336
,2 tons,44 dB,,,,,,,,B01INHC6FI," 43,043.00",Samsung,,,3 Star Rating,"Samsung AR24KC3HATR Split AC (2 Ton, 3 Star Rating, Grey, Aluminium): Amazon.in: Home & Kitchen","49,700.00",Remote Control,Brand Fulfilled,,,Grey,,Split,,,http://www.amazon.in/Samsung-AR24KC3HATR-Split-Rating-Aluminium/dp/B01INHC6FI/ref=sr_1_360_m/255-1343973-5195351?ie=UTF8&qid=1485032591&s=kitchen&sr=1-360
,1.5 tons,43 dB,,,,,,,,B01INHB9W4," 31,941.00",Samsung,,,2 Star Rating,"Samsung AR18KC2HATR Split AC (1.5 Ton, 2 Star Rating, Grey, Aluminium): Amazon.in: Home & Kitchen","36,900.00",Remote Control,Brand Fulfilled,,,Grey,,Split,,,http://www.amazon.in/Samsung-AR18KC2HATR-Split-Rating-Aluminium/dp/B01INHB9W4/ref=sr_1_384_m/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-384
,1.5 tons,43 dB,,,,,,,,B01INHADAI," 37,100.00",Samsung,,,3 Star Rating,"Samsung AR18HC3TXNC Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR18HC3TXNC-Split-Rating-White/dp/B01INHADAI/ref=sr_1_408_m?ie=UTF8&qid=1485032595&s=kitchen&sr=1-408
,1.5 tons,43 dB,,,,,,,,B01INHADAI," 37,100.00",Samsung,,,3 Star Rating,"Samsung AR18HC3TXNC Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR18HC3TXNC-Split-Rating-White/dp/B01INHADAI/ref=sr_1_408?ie=UTF8&qid=1485032595&s=kitchen&sr=1-408
,1.5 tons,43 dB,,,,,,,,B01INHADD0," 38,400.00",Samsung,,,3 Star Rating,"Samsung AR18HC3EXLW Split AC (1.5 Ton, 3 Star Rating, Maroon and Wine, Aluminium): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,Maroon and Wine,,Split,,,http://www.amazon.in/Samsung-AR18HC3EXLW-Rating-Maroon-Aluminium/dp/B01INHADD0/ref=sr_1_407_m?ie=UTF8&qid=1485032595&s=kitchen&sr=1-407
,1.5 tons,43 dB,,,,,,,,B01INHADD0," 38,400.00",Samsung,,,3 Star Rating,"Samsung AR18HC3EXLW Split AC (1.5 Ton, 3 Star Rating, Maroon and Wine, Aluminium): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,Maroon and Wine,,Split,,,http://www.amazon.in/Samsung-AR18HC3EXLW-Rating-Maroon-Aluminium/dp/B01INHADD0/ref=sr_1_407?ie=UTF8&qid=1485032595&s=kitchen&sr=1-407
,1.5 tons,43 dB,,,,,,,,B01INHADL2," 36,200.00",Samsung,,,3 Star Rating,"Samsung AR18HC3TYUR Split AC (1.5 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR18HC3TYUR-Split-Rating-Aluminium/dp/B01INHADL2/ref=sr_1_406_m?ie=UTF8&qid=1485032595&s=kitchen&sr=1-406
,1.5 tons,43 dB,,,,,,,,B01INHADL2," 36,200.00",Samsung,,,3 Star Rating,"Samsung AR18HC3TYUR Split AC (1.5 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR18HC3TYUR-Split-Rating-Aluminium/dp/B01INHADL2/ref=sr_1_406?ie=UTF8&qid=1485032595&s=kitchen&sr=1-406
,1.5 tons,43 dB,,,,,,,,B01INHADLC," 31,700.00",Samsung,,,2 Star Rating,"Samsung AR18HC2UXNB Split AC (1.5 Ton, 2 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR18HC2UXNB-Split-Rating-White/dp/B01INHADLC/ref=sr_1_405_m?ie=UTF8&qid=1485032595&s=kitchen&sr=1-405
,1.5 tons,43 dB,,,,,,,,B01INHADLC," 31,700.00",Samsung,,,2 Star Rating,"Samsung AR18HC2UXNB Split AC (1.5 Ton, 2 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR18HC2UXNB-Split-Rating-White/dp/B01INHADLC/ref=sr_1_405?ie=UTF8&qid=1485032595&s=kitchen&sr=1-405
,1.5 tons,,,,,,,,,B01INHAGWS," 33,100.00",Samsung,,,3 Star Rating,"Samsung AR18HC3USUQ Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,1730 Watts,Split,,,http://www.amazon.in/Samsung-AR18HC3USUQ-Split-Rating-White/dp/B01INHAGWS/ref=sr_1_404_m?ie=UTF8&qid=1485032595&s=kitchen&sr=1-404
,1.5 tons,,,,,,,,,B01INHAGWS," 33,100.00",Samsung,,,3 Star Rating,"Samsung AR18HC3USUQ Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,1730 Watts,Split,,,http://www.amazon.in/Samsung-AR18HC3USUQ-Split-Rating-White/dp/B01INHAGWS/ref=sr_1_404?ie=UTF8&qid=1485032595&s=kitchen&sr=1-404
,1.5 tons,43 dB,,,,,,,,B01INHAH3G," 43,600.00",Samsung,,,5 Star Rating,"Samsung AR18HC5EXLZ Split AC (1.5 Ton, 5 Star Rating, Navy Blue): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,Navy Blue,,Split,,,http://www.amazon.in/Samsung-AR18HC5EXLZ-Split-Star-Rating/dp/B01INHAH3G/ref=sr_1_403_m?ie=UTF8&qid=1485032595&s=kitchen&sr=1-403
,1.5 tons,43 dB,,,,,,,,B01INHAH3G," 43,600.00",Samsung,,,5 Star Rating,"Samsung AR18HC5EXLZ Split AC (1.5 Ton, 5 Star Rating, Navy Blue): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,Navy Blue,,Split,,,http://www.amazon.in/Samsung-AR18HC5EXLZ-Split-Star-Rating/dp/B01INHAH3G/ref=sr_1_403?ie=UTF8&qid=1485032595&s=kitchen&sr=1-403
,1.5 tons,43 dB,,,,,,,,B01INHAH40," 36,300.00",Samsung,,,3 Star Rating,"Samsung AR18HC3UXNB Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR18HC3UXNB-Split-Rating-White/dp/B01INHAH40/ref=sr_1_402_m?ie=UTF8&qid=1485032595&s=kitchen&sr=1-402
,1.5 tons,43 dB,,,,,,,,B01INHAH40," 36,300.00",Samsung,,,3 Star Rating,"Samsung AR18HC3UXNB Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR18HC3UXNB-Split-Rating-White/dp/B01INHAH40/ref=sr_1_402?ie=UTF8&qid=1485032595&s=kitchen&sr=1-402
,1.5 tons,41 dB,,,,,,,,B01INHALAK," 60,700.00",Samsung,,1 review,5 Star Rating,"Samsung AR18HV5DAWK Split AC (1.5 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,1310 Watts,Split,1.0 out of 5 stars,,http://www.amazon.in/Samsung-AR18HV5DAWK-Split-Rating-White/dp/B01INHALAK/ref=sr_1_401_m?ie=UTF8&qid=1485032595&s=kitchen&sr=1-401
,1.5 tons,43 dB,I am using samsung split ac inverter type I got best performance over all.,"Samsung AC purchased in Jan 2014, only used in summer, regularly serviced, still not working now and compressor and condensor both not working. Very bad products.",I am using 1 ton version of this model. It totally noise free and works great in cool mode. You feel like central ac.,,,,,B01INHALAU," 47,600.00",Samsung,,3 reviews,3 Star Rating,"Samsung AR18HV5NFWK Split AC (1.5 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,,Split,3.3 out of 5 stars,,http://www.amazon.in/Samsung-AR18HV5NFWK-Split-Rating-Aluminium/dp/B01INHALAU/ref=sr_1_400_m?ie=UTF8&qid=1485032595&s=kitchen&sr=1-400
,1.5 tons,43 dB,I am using samsung split ac inverter type I got best performance over all.,"Samsung AC purchased in Jan 2014, only used in summer, regularly serviced, still not working now and compressor and condensor both not working. Very bad products.",I am using 1 ton version of this model. It totally noise free and works great in cool mode. You feel like central ac.,,,,,B01INHALAU," 47,600.00",Samsung,,3 reviews,3 Star Rating,"Samsung AR18HV5NFWK Split AC (1.5 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,,Split,3.3 out of 5 stars,,http://www.amazon.in/Samsung-AR18HV5NFWK-Split-Rating-Aluminium/dp/B01INHALAU/ref=sr_1_400?ie=UTF8&qid=1485032595&s=kitchen&sr=1-400
,1.5 tons,43 dB,,,,,,,,B01INHAPJ2," 28,200.00",Samsung,,,2 Star Rating,"Samsung AR18JC2UFUQ Split AC (1.5 Ton, 2 Star Rating, Blue Strip, Copper): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,Blue Strip,,Split,,,http://www.amazon.in/Samsung-AR18JC2UFUQ-Split-Rating-Copper/dp/B01INHAPJ2/ref=sr_1_399_m?ie=UTF8&qid=1485032595&s=kitchen&sr=1-399
