Review_8,Capacity,Noise_Level,Review_1,Review_3,Review_2,Review_5,Review_4,Review_7,Review_6,ASIN,Offer_Price,Brand,Item_name,No_of_Reviews,Energy_Efficiency,Part_No,MRP,Control_Console,Model,Best_Sellers_Rank_Category_AC,Best_Sellers_Rank_Category_home_kitchen,Color,Wattage,Installation_Type,Average_Rating,Voltage,Item_href
,1.5 tons,,"First things, Inverter AC also comes with Star Rating. Whenever buying an AC check for EER (Energy Efficient Ratio) which should be at-least 4.0 or above for high power savings. This is most recent and rare model I found on the Internet.After lots of research for my first Split AC. I found this great machine.Price: Costly.Power Efficient: Yes 4.3 EER.Looks: Sexy & Damn the digital Display is just elegant.The Remote shows its WiFi AC, can be controlled using a smart app but I didn't find any details on the Manuals or Website. But Bluestar is working on it as shared by Bluestar Installation Guy.Things to Note:Upgrading from Window to Split is lot of hassles & extra money.Window AC are very easy to Install with no extra cost.I bought this in Summer Season as there was an offer from Bluestar for Free Installation.Now, if you purchase, You will have to shed out Rs.1200/ for Installation. + If any Copper Coil or Insulation Tape or Stand or anything required extra with this.Bluestar outer model is very large even for 1.5 ton AC compared to other Split AC's. Make sure you have an extra space for placing the Outdoor Fan Cabinet.Anyways, I was not happy with Seller's Communication as I wanted to speak with him over the phone but he stick to Email Replies passing through Amazon as midator which took more time to get answers.",Good,Good Product!!!,i bought this product in nagpur...awesome cooling and energy efficient...good one,Mast,,,B01CY2QGA4," 47,590.00",Blue Star,"Blue Star BI-5CNHW18PAFU Split AC (1.5 Ton, 4.75 Star Rating, White, Copper): Amazon.in: Home & Kitchen",5 reviews,5 Star Rating,,,Remote Control,BI-5CNHW18PAFU,#279,"#2,78,223",White,,Split,4.8 out of 5 stars,230 Volts,http://www.amazon.in/Blue-Star-BI-5CNHW18PAFU-Rating-Copper/dp/B01CY2QGA4/ref=sr_1_215/255-0990334-3122366?ie=UTF8&qid=1485079627&s=kitchen&sr=1-215
,1.5 tons,,compressor and fan makes much noise as compared to that of other.,,Good one,,,,,B00W9PJRL2," 25,800.00",Godrej,"Godrej GSC 18 CD 3 WOT Split AC (1.5 Ton, Aluminium): Amazon.in: Home & Kitchen",2 reviews,3 Star Rating,GSC 18 CD3 WOT,,Remote Control,GSC 18 CD 3 WOT,#333,"#3,26,741",white,1556 Watts,Split,3.5 out of 5 stars,230 Volts,http://www.amazon.in/Godrej-GSC-18-CD-WOT/dp/B00W9PJRL2/ref=sr_1_275/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-275
,1.5 tons,42 dB,product seems good......!!,,,,,,,B00VI0BQBS," 56,200.00",Samsung,"Samsung AR18JV5NBWK Triangle Inverter Split AC (1.5 Ton, White, Aluminium): Amazon.in: Home & Kitchen",1 review,Inverter,AR18JV5NBWK,,Remote Control,Amazon/Seller Fulfilled,#342,"#3,32,337",White,1410 Watts,Split,4.0 out of 5 stars,230 Volts,http://www.amazon.in/Samsung-AR18JV5NBWK-Triangle-Inverter-Aluminium/dp/B00VI0BQBS/ref=sr_1_278/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-278
,1.5 tons,52 dB,Not enough cooling.,,,,,,,B00UTDRB2S," 24,990.00",LG,"LG LWA5BP1A L-Bliss Plus Window AC (1.5 Ton, 1 Star Rating, White, Copper): Amazon.in: Home & Kitchen",1 review,1 Star Rating,,,,LWA5BP1A,#354,"#3,40,050",White,1850 Watts,Window,1.0 out of 5 stars,230 Volts,http://www.amazon.in/LG-LWA5BP1A-L-Bliss-Window-Rating/dp/B00UTDRB2S/ref=sr_1_287/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-287
,1.5 tons,43 dB,It is a good product. Working super. Fast cooling,"Good, but delivered different model.",Simply awesome. super fast cooling,,Please share the warrenty details,,,B00UV3VYQK," 28,000.00",Lloyd,"Lloyd Tranquil LS19A3HR Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",4 reviews,3 Star Rating,,"31,490.00",Remote Control,LS19A3HR,#374,"#3,62,335",White,1566 Watts,Split,4.0 out of 5 stars,230 Volts,http://www.amazon.in/Lloyd-Tranquil-LS19A3HR-Split-Rating/dp/B00UV3VYQK/ref=sr_1_286/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-286
,1 tons,38 dB,,,,,,,,B00Y2U4WQW,,Onida,"Onida S125SMH Split AC (1 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,5 Star Rating,S125SMH,,Remote Control,S125SMH,#344,"#3,33,926",White,1000 Watts,Split,,,http://www.amazon.in/Onida-S125SMH-Split-Rating-Copper/dp/B00Y2U4WQW/ref=sr_1_273/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-273
,2 tons,47 dB,,,,,,,,B00VUTSSN6," 42,950.00",Carrier,"Carrier 24K Duraedge Plus K+ Split AC (2 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,3 Star Rating,,,Remote Control,42KGE - 024M,#315,"#3,09,356",White,1910 Watts,Split,,230 Volts,http://www.amazon.in/Carrier-Duraedge-Split-Rating-Copper/dp/B00VUTSSN6/ref=sr_1_277/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-277
,1.5 tons,52 dB,,,,,,,,B00TZN0UKS," 23,900.00",LG,"LG LWA5GW2 L-Bliss Plus Window AC (1.5 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,2 Star Rating,,"28,490.00",,LWA5BP2A,#189,"#2,00,951",White,1680 Watts,Window,,230 Volts,http://www.amazon.in/LG-LWA5GW2-L-Bliss-Window-Rating/dp/B00TZN0UKS/ref=sr_1_168/254-1923933-2335556?ie=UTF8&qid=1485079627&s=kitchen&sr=1-168
,1 tons,40 dB,"One of the fantastic product old by amazon un believable price compared to out side market, blindly choose it...Perfect choice for 9*9 room....",Delivered in 4 days. Voltas have huge back log for installation got it installed after follow-up,Never buy it online. Voltas Customer Care is very hard to reach. Try calling their customer care before buying. It will take 24 hours to start installation process.they calculate 8 hours a day and eventually 3 days.,Weak and incompetent After Sales Support.,Superb cooling. Low on billls. I'm using for past 1 year and totally satisfied with this product,,,B00LSJZ9H6," 33,800.00",Voltas,"Voltas DC Inverter 12V DY Inverter Split AC (1 Ton, White, Copper): Amazon.in: Home & Kitchen",9 reviews,Inverter,12V DY,"56,220.00",Remote Control,DC Inverter 12V DY,#61,"#45,553",Royal Tendril Violet,1118 Watts,Split,4.1 out of 5 stars,230 Volts,http://www.amazon.in/Voltas-DC-Inverter-12V-DY/dp/B00LSJZ9H6/ref=sr_1_24/253-2924686-6320101?ie=UTF8&qid=1485079627&s=kitchen&sr=1-24
,,,,,,,,,,,,,"Panasonic UC18RKY2 Split AC (1.5 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,,,"29,500.00",,,,,,,,,,http://www.amazon.in/Panasonic-UC18RKY2-Split-Rating-Copper/dp/B00YH8PZ8I/ref=sr_1_272/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-272
,1.5 tons,43 dB,,,,,,,,B00LWREUYW," 34,500.00",Voltas,"Voltas 18HY Hot and Cold Split AC (1.5 Ton, 2 Star Rating, White): Amazon.in: Home & Kitchen",,2 Star Rating,18HY,"49,990.00",Remote Control,1.5 T 18HY,#55,"#39,018",White,1700 Watts,Split,,230 Volts,http://www.amazon.in/Voltas-18HY-Split-1-5-Rating/dp/B00LWREUYW/ref=sr_1_23/253-2924686-6320101?ie=UTF8&qid=1485079627&s=kitchen&sr=1-23
,1.5 tons,,,,,,,,,B01CFY9IKG," 42,105.00",Blue Star,"Blue Star BI-5HW18ZCWX Split AC (1.5 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",,5 Star Rating,,,Remote Control,BI-5HW18ZCWX,#293,"#2,90,190",White,,Split,,230 Volts,http://www.amazon.in/Blue-Star-BI-5HW18ZCWX-Split-Rating/dp/B01CFY9IKG/ref=sr_1_216/255-0990334-3122366?ie=UTF8&qid=1485079627&s=kitchen&sr=1-216
,1.5 tons,52 dB,,,,,,,,B00Q66720S," 25,990.00",LG,"LG LWA5GW3 Window AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,3 Star Rating,,"31,990.00",,LWA5BP3F,#211,"#2,26,885",White,1610 Watts,Window,,230 Volts,http://www.amazon.in/LG-LWA5GW3-Window-Rating-Copper/dp/B00Q66720S/ref=sr_1_190/255-7393836-5549665?ie=UTF8&qid=1485079627&s=kitchen&sr=1-190
"Nothing can be better than this.While selecting AC, i was looking for at least 5 star model or Inverter, with copper condenser along with R410A refrigerant.And I got all these in this model.This model is compact, noise free and very efficient. Moreover it is from bluestar a well known air conditioner company.It also has bluefins.",1.5 tons,40 dB,"Bought it few days back, needed couple of followups for installation. But overall pretty good product, less noise and I don't feel like ac is running if u make fan speed to low, even the outdoor unit is quite. Impressed a lot",I am totally satisfied with my Blue Star AC purchase. I got it for very less price thanks to Amazon. I love Blue Start AC in every aspect.,"I was worried of buying from website but it was smooth.Following are observation...1) It was delivered well within time in a well packed condition. 2) Every part Drain pipe,Copper coil ,Remote etc are there as mentioned. 3) However for installation you need to directly contact Bluestar.","Good Product from a Best manufracturer. Cooling is good and options are adequate for different modes. Remote is a bit long like TV remote, however the options are more and easy to operate.",It's an awesome AC.The indoor and outdoor units are very quite.It cools the room very quickly.,got the product in diwali sale.Got installed by very co-operative personnels from Bluestar.Happy till now...,Great cooling. Noise free.,B00RVIBBQQ," 42,990.00",Blue Star,"Blue Star 3CNHW18CAF/U Inverter Split AC (1.5 Ton, White, Copper): Amazon.in: Home & Kitchen",28 reviews,Inverter,,"50,400.00",,CNHW18CAF/U,#15,"#7,981",White,,Split,4.2 out of 5 stars,230 Volts,http://www.amazon.in/Blue-Star-3CNHW18CAF-Inverter-Copper/dp/B00RVIBBQQ/ref=sr_1_22/253-2924686-6320101?ie=UTF8&qid=1485079627&s=kitchen&sr=1-22
,1.5 tons,54 dB,"Excellent product from Voltas.Pros1 it's a Voltas. Our desi product.2 cheaper than competition yet no compromise on quality.3 good after sale service and customer support.4 large LED on AC asbwell as remote.5 premium looks.6 not so noisy7 night glow buttons on remote.8 enery efficient cooling. Chills my room.9 it has copper condenser, so don't worry about its life and durability. Far better than aluminium condenser.10 turbo function is also available. No need to wait for compressor to start. It instant starts the compressor in turbo mode.11 sleep mode works well and saves energy.12 easy to clean filter location. No need to remove full grill.Cons1 only night glow buttons on remote. LED backlighting is not there.2 hmmmm not found any other cons.It's really a good AC. Recommended.","room gets cooled in 15/20 minutes. Functioning very well as of now. For installation, have to contact call centre and engineer came to install it and they charged nominal charge , Delivery was smooth and packing was good. Product delivered without any damage.","Though I have not purchased it from amazon but this ac is so good that I could not restrict myself to write a review.I live in noida which is too hot and that too on top floor. I have bought this ac from local market as shopkeeper really convinced me to bought this one and I am really glad to have this. Chills my 14x14 feet room even in afternoons.The only thing I am not sure is that shopkeeper told me it is 100% copper.Rest , it is doing fine.",,,,,B00LWRFDGQ," 27,150.00",Voltas,"Voltas 185 LY Luxury Y Series Window AC (1.5 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen",6 reviews,5 Star Rating,,"31,690.00",Remote Control,1.5T 185 LY,#36,"#21,174",White,1495 Watts,Window,3.8 out of 5 stars,230 Volts,http://www.amazon.in/Voltas-185-LY-Luxury-Window/dp/B00LWRFDGQ/ref=sr_1_21/253-2924686-6320101?ie=UTF8&qid=1485079627&s=kitchen&sr=1-21
,1.5 tons,,trusted product...,Daikin 1.5 tr 3 star. 33000/.,Superrrr......,,,,,B00NPOJ644," 34,500.00",Daikin,"Daikin IDU FTC50QRV16 Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",3 reviews,3 Star Rating,FTC50PRV16,"38,501.00",Remote Control,FTC50QRV16,#218,"#2,31,938",White,,Split,4.3 out of 5 stars,230 Volts,http://www.amazon.in/Daikin-FTC50QRV16-Split-Rating-White/dp/B00NPOJ644/ref=sr_1_191/255-7393836-5549665?ie=UTF8&qid=1485079627&s=kitchen&sr=1-191
,1 tons,42 dB,,,,,,,,B00V30Q7ZS," 26,900.00",Panasonic,"Panasonic CS-VC12RKY2 Split AC (1 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,2 Star Rating,CS/CU-VC12RKY2,,Remote Control,CS-VC12RKY2,#357,"#3,43,342",White,1100 Watts,Split,,230 Volts,http://www.amazon.in/Panasonic-CS-VC12RKY2-Split-Rating-Copper/dp/B00V30Q7ZS/ref=sr_1_283/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-283
,2 tons,50 dB,"Please think 10 times before buying this AC or for that matter anything from VOLTAS. Bought this myself (243cya) in Delhi(not through amazon) and repenting until now. It was installed on 25 April and did not function . Installation technicians confirmed a minor fault and that it would be repaired in a few days. After complaining to voltas a technician came after 3 days and could not fix the brand new unit. He confirmed a manufacturing defect in the indoor unit. Complained to voltas again and requested them replace the defective piece. Despite repeated complaints to voltas, second technician visited on 27 May ( 32 days after installation) and again wrote manufacturing fault on indoor as well as outdoor unit also this time which was tested then. Have spoken to /requested voltas cc and their regional head in Delhi to please make a solution but till date this unit is a show piece in my living room. They don't even have the courtesy to reply or acknowledge the complaint email sent to their email address (with attached service report confirming a manufacturing defect in the brand new piece) ...Despite repeated requests customer care outrightly refuse to provide any contact details of higher up/senior voltas officials. The unit has not functioned even for a second till today and voltas doesn't give a damn. I know this doesn't happen with everyone but as they say only the wearer knows where the shoe bites. Col. YASH WADHWA, mob: 9873537113",But price is very much,Same product available on flipcart for Rs 36690/-. It's a good product.,quality is not good,Very good product and Prompt services.,,,B00LWRD8S6," 43,072.00",Voltas,"Voltas 243 Cya Classic Ya Series Split AC (2 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",5 reviews,3 Star Rating,243 CYa,"50,790.00",Remote Control,2.0T 243 Cya,#204,"#2,18,369",White,1906 Watts,Split,4.0 out of 5 stars,230 Volts,http://www.amazon.in/Voltas-243-Cya-Classic-Rating/dp/B00LWRD8S6/ref=sr_1_192/255-7393836-5549665?ie=UTF8&qid=1485079627&s=kitchen&sr=1-192
,1.5 tons,46 dB,Overall experience was gud.. Worth for money,Product as per description..Prompt Delivery...Thumbs up,Best for my choice ....,,,,,B00LWREANI," 30,000.00",Voltas,"Voltas 183 LY/A/B/E/I Series Split AC (1.5 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",3 reviews,3 Star Rating,183 LYa,"39,990.00",Remote Control,1.5 T 183 Lya,#53,"#36,838",White,1571 Watts,Split,4.7 out of 5 stars,230 Volts,http://www.amazon.in/Voltas-183-1-5-Rating-Aluminium/dp/B00LWREANI/ref=sr_1_20/253-2924686-6320101?ie=UTF8&qid=1485079627&s=kitchen&sr=1-20
,2 tons,48 dB,,,,,,,,B00V322I72," 36,900.00",Mitashi,"Mitashi MiSAC203v01 Split AC (2 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,3 Star Rating,,,Remote Control,MiSAC203v01,#307,"#3,01,709",White,2100 Watts,Split,,240 Volts,http://www.amazon.in/Mitashi-MiSAC203v01-Split-Rating-Copper/dp/B00V322I72/ref=sr_1_282/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-282
It is a very good product,1.5 tons,53 dB,It's one of the best AC in the market right now. Though not many know about Mitsubishi Electric but this is the company to look out for in the future.,This is a Premium Product,"This machine is v good  super quiet n cooling is awsome, build quality way better than daikin and cooling is tremendous","I am using this air conditioner from last 1 month in my master bedroom where you can easily put Two Double bed so its a large bedroom, and believe me this is one of the best air conditioner till date. Its Cooling is very good better than LG, Hitachi, oh yeah even better than O'general.I bought it directly from main dealer of mitsubishi and he didn't even put any stamp on warranty card cuz invoice is enough to get a warrantyThey mentioned all serial no. in the invoice. Go for mitsubishi over other brand. You will not regret I live in delhi and set my temperature to 25-27 degree and it amaze me that it cool really fast.",I just brought mitshubishi ms.18 va air conditioner.it is amazing performance. Better then any other action on the market. With in 20 min your room like totally chilly. Value for money.,Very good Air conditioner. Definitely would recommend. Cooling is too good after 20 mins. Go for it. It is definitely on par with o general and daikin,It's great airconditioner.Works excellent.,B00PVM5FL6," 42,100.00",Mitsubishi,"Mitsubishi MS-GK18VA Cooling Split AC (1.5 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",24 reviews,5 Star Rating,,"50,910.00",Remote Control,MS-GK18VA,#46,"#31,457",White,1450 Watts,Split,4.7 out of 5 stars,230 Volts,http://www.amazon.in/Mitsubishi-MS-GK18VA-Cooling-Split-Rating/dp/B00PVM5FL6/ref=sr_1_17/253-2924686-6320101?ie=UTF8&qid=1485079627&s=kitchen&sr=1-17
,1.5 tons,56 dB,,,,,,,,B00VE5ECU4," 30,999.00",Panasonic,"Panasonic YC18RKY3 Split AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",8 reviews,3 Star Rating,YC18RKY3,,Remote Control,YC18RKY3,#67,"#53,384",White,1730 Watts,Split,3.6 out of 5 stars,230 Volts,http://www.amazon.in/Panasonic-YC18RKY3-Split-Rating-Copper/dp/B00VE5ECU4/ref=sr_1_281/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-281
,2 tons,50 dB,Product arrived in good condition. Installed in our meeting hall. Working well.,,Excellent Product,,,,,B00LWRDF34," 40,800.00",Voltas,"Voltas 243 CYi Classic Yi Series Split AC (2 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",2 reviews,3 Star Rating,CLASSIC 243 CYI,"50,790.00",Remote Control,2.0 T 243 CYi,#21,"#11,875",White,1774 Watts,Split,5.0 out of 5 stars,230 Volts,http://www.amazon.in/Voltas-243-CYi-Classic-Rating/dp/B00LWRDF34/ref=sr_1_18/253-2924686-6320101?ie=UTF8&qid=1485079627&s=kitchen&sr=1-18
,1.5 tons,,,,,,,,,B01BSNSKHM," 62,000.00",Hitachi,"Hitachi RAU518CWEA Kashikoi Split AC (1.5 Ton, 5 Star Rating, Silver, Copper): Amazon.in: Home & Kitchen",,5 Star Rating,,,Remote Control,RAU518CWEA,#347,"#3,36,552",Silver,,Split,,,http://www.amazon.in/Hitachi-RAU518CWEA-Kashikoi-Rating-Silver/dp/B01BSNSKHM/ref=sr_1_265/253-4305874-8829318?ie=UTF8&qid=1485079627&s=kitchen&sr=1-265
,1 tons,39 dB,"I bought Carrier AC after much deliberation and have looked at all other options. I have shortlisted Daikin, Carrier, Hitachi, O General and Mitsubishi only, as i want Full Copper Condenser unlike aluminium condenser in LG, Samsung, Voltas or Bluestar. Because of Copper Condenser, the cooling is very fast and effective. Also, looks wise as well as performance wise, the product is excellent. In terms of noise, Daikin ACs are the best though it is still comparable with Hitachi and much better than LG/Samsung/Voltas.Only issue I faced was with Installation, which took time and I have to pay Rs 1500 for installation and Rs 2000 for extra Copper pipe.",I purchase rs.35250.(3 month ago) Carrier 1.5 ton 5 star superior model it is a very good and nice cooling. display LED.. silent . I give five star selle for price. from-javedsaiyed (Nandasan) Gujarat.,"Amazing delivery by Amazon and ATS team. About the product it is good in terms of performance, long term usage especially during summer remains to be verified. Two things which have reduced the rating:a) The out door unit doesn't have a protection plastic cap or cover over the copper pipe inlets. This is strange as the unit has holes to fix the cover but no cover. The installation team confirmed that carrier doesn't provide the cover, this is unacceptable considering the cover is a basic small cost item and even the unbranded air conditioners provide the same.b) Installation team was competent , fast and clean, however they haven't yet sent the installation report or the invoice for the installation charges paid. Maybe some genuine issues , however the same still remains outstanding inspite of calls to the local Carrier office.",,,,,B00LSJZMFA," 30,290.00",Carrier,"Carrier Superia Split AC (1 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen",10 reviews,5 Star Rating,Superia,"39,200.00",Remote Control,Superia,#21,"#11,735",White,1048 Watts,Split,3.9 out of 5 stars,230 Volts,http://www.amazon.in/Carrier-Superia-Split-Rating-Copper/dp/B00LSJZMFA/ref=sr_1_13/253-2924686-6320101?ie=UTF8&qid=1485079627&s=kitchen&sr=1-13
